food_item_en,unit_en,unit_code,weight_per_dl_g,weight_per_msp_g,weight_per_tbsp_g,weight_per_tsp_g,g_per_unit,gross_g,edible_part_pct,net_g,weight_per_portion_g
Cupcakes,one,piece,,,,,60.0,,,,
Confectionery cake,slice,slice,,,,,25.0,,,,
Doughnuts,one,piece,,,,,,,,,
"Apple pie, apple cake",portion,portion,,,,,80.0,,,,
Pound cake,slice,slice,,,,,45.0,,,,
"Macaroon cake, Norwegian Prince cake",portion,portion,,,,,80.0,,,,
"Gluten-free sweet bun, home-made",one,piece,,,,,60.0,,,,
Gluten-free waffles,waffel,,,,,,85.0,,,,
Gluten-free waffles,piece,,,,,,17.0,,,,
Carrot cake,portion,portion,,,,,80.0,,,,
"Sweet bun, raisin bun, home-made",one,piece,,,,,60.0,,,,
"Sweet bun, raisin bun, industrially made",one,piece,,,,,50.0,,,,
"Soft Norwegian flatbread, lefse, filled, industrially made",one,piece,,,,,55.0,,,,
"Soft Norwegian flatbread, Vestlandslefsa",one,piece,,,,,35.0,,,,
"Cinnamon roll, home-made",one,piece,,,,,65.0,,,,
"Cinnamon roll, industrially made",one,piece,,,,,50.0,,,,
"Sponge cake, layered, filled with whipped cream and jam, covered with marzipan",portion,portion,,,,,95.0,,,,
"Swedish almond cake, macaroon tea cake",one,piece,,,,,55.0,,,,
"Muffins, industrially made",one,piece,,,,,35.0,,,,
"Muffins, with icing, home-made",one,piece,,,,,35.0,,,,
"Muffins, home-made",one,piece,,,,,30.0,,,,
Napoleon cake,one,piece,,,,,150.0,,,,
Cheese cake,portion,portion,,,,,80.0,,,,
Swiss roll,slice,slice,,,,,25.0,,,,
"Waffles, made with sour cream",waffel,,,,,,75.0,,,,
"Waffles, made with sour cream",piece,,,,,,15.0,,,,
Chocolate cake,portion,portion,,,,,80.0,,,,
"Sweet bun, with custard, icing and desiccated coconut",one,piece,,,,,115.0,,,,
Doughnuts,one,piece,,,,,45.0,,,,
"Sweet bun, with vanilla custard, industrially made",one,piece,,,,,100.0,,,,
"Sponge cake, plain",portion,portion,,,,,80.0,,,,
Tart shell,one,piece,,,,,30.0,,,,
Waffles,waffel,,,,,,85.0,,,,
Waffles,piece,,,,,,17.0,,,,
"Cream puff, filled",one,piece,,,,,35.0,,,,
Cream puff,one,piece,,,,,20.0,,,,
"Malt loaf, bread cake",slice,slice,,,,,45.0,,,,
"Danish pastry, with custard filling",one,piece,,,,,80.0,,,,
"Danish pastry, with jam",one,piece,,,,,50.0,,,,
Cashew nuts,handful,,60.0,,,,20.0,,,,
"Pumkpin seeds, squash seeds",tablespoon,tbsp,60.0,,,,9.0,,,,
Hazel nuts,handful,,60.0,,,,20.0,,,,
"Chestnuts, roasted",,piece,70.0,,,,8.0,,,,
"Linseeds, flax seeds",tablespoon,tbsp,60.0,,,,8.0,,,,
Macadamia nuts,handful,,60.0,,,,20.0,,,,
Almonds,handful,,60.0,,,,20.0,,,,
Brazil nuts,handful,,65.0,,,,20.0,,,,
Peanuts,handful,,60.0,,,,20.0,,,,
Peanut butter,tablespoon,tbsp,,,,,17.0,,,,
Peanut butter,for a slice of bread,slice,,,,,15.0,,,,
Pecan nuts,one,piece,45.0,,,,1.5,,,,
Pine nuts,tablespoon,tbsp,60.0,,,,10.0,,,,
Pistachio nuts,one,piece,50.0,,,,0.5,,,,
Sesame seeds,tablespoon,tbsp,60.0,,,,9.0,,,,
Sunflower seeds,tablespoon,tbsp,55.0,,,,8.0,,,,
Walnuts,handful,,45.0,,,,20.0,,,,
French fries,portion,portion,45.0,,,,135.0,,,,
"Potato, boiled",portion,portion,,,,,170.0,3565120.0,83.0,3055100.0,
"Potato, raw",portion,portion,60.0,,,,170.0,3565120.0,83.0,3055100.0,
Mashed potatoes,portion,portion,100.0,,,,200.0,,,,
Potato salad,tablespoon,tbsp,100.0,,,,19.0,,,,
Cucumber,slice,slice,55.0,,,,6.0,335.0,97.0,325.0,
Alfalfa sprouts,,,20.0,,,,,,100.0,,
"Artichoke, globe",,,,,,,,330.0,43.0,140.0,
Asparagus,,,,,,,,30.0,53.0,16.0,
Aubergine,slice,slice,30.0,,,,25.0,350.0,81.0,285.0,
Baby carrot,,,,,,,,,100.0,410.0,
Basil,,,5.0,,,,,,64.0,,
Cauliflower,floret,,,,,,30.0,650.0,74.0,480.0,
Nettle,,,5.0,,,,,,100.0,,
Broccoli,floret,,,,,,25.0,460.0,86.0,395.0,
Cherry tomato,,,65.0,,,,,,100.0,15.0,
"Chili pepper, red",,,,,,,,10.0,73.0,7.0,
Dill,,,12.0,,,,,,90.0,,
"Chicory, endive",,,30.0,,,,,,86.0,,
Fennel,,,45.0,,,,,150.0,93.0,140.0,
Pumpkin,,,55.0,,,,,,70.0,,
Chives,tablespoon,tbsp,18.0,,,,3.0,,100.0,,
Kale,,,55.0,,,,,,61.0,,
